Feature,Importance
meanAutoCorrHarmonicity,0.0
meanNoiseToHarmHarmonicity,0.0
tqwt_energy_dec_22,0.0
det_TKEO_mean_6_coef,0.0
app_LT_TKEO_std_7_coef,0.0
app_LT_TKEO_std_9_coef,0.0
app_LT_TKEO_std_10_coef,0.0
app_LT_TKEO_mean_5_coef,0.0
app_LT_TKEO_mean_6_coef,0.0
app_LT_TKEO_mean_7_coef,0.0
app_LT_TKEO_mean_9_coef,0.0
tqwt_energy_dec_9,0.0
tqwt_energy_dec_13,0.0
tqwt_energy_dec_3,0.0
tqwt_energy_dec_4,0.0
tqwt_energy_dec_5,0.0
app_LT_TKEO_std_4_coef,0.0
app_LT_TKEO_std_5_coef,0.0
app_LT_TKEO_std_6_coef,0.0
tqwt_TKEO_std_dec_1,0.0
tqwt_TKEO_std_dec_2,0.0
tqwt_TKEO_std_dec_3,0.0
tqwt_TKEO_std_dec_4,0.0
tqwt_TKEO_std_dec_5,0.0
det_LT_TKEO_std_8_coef,0.0
det_LT_TKEO_std_9_coef,0.0
tqwt_TKEO_std_dec_30,0.0
tqwt_TKEO_std_dec_31,0.0
tqwt_TKEO_std_dec_22,0.0
tqwt_TKEO_std_dec_23,0.0
tqwt_TKEO_std_dec_9,0.0
tqwt_TKEO_std_dec_10,0.0
tqwt_TKEO_std_dec_15,0.0
tqwt_TKEO_std_dec_16,0.0
app_LT_entropy_shannon_2_coef,0.0
app_LT_entropy_shannon_3_coef,0.0
app_LT_entropy_shannon_4_coef,0.0
app_LT_entropy_shannon_5_coef,0.0
app_LT_entropy_shannon_6_coef,0.0
app_LT_entropy_shannon_7_coef,0.0
app_LT_entropy_shannon_8_coef,0.0
app_LT_entropy_shannon_9_coef,0.0
app_LT_entropy_shannon_10_coef,0.0
app_LT_entropy_log_1_coef,0.0
app_LT_entropy_log_2_coef,0.0
app_LT_entropy_log_3_coef,0.0
app_LT_entropy_log_4_coef,0.0
app_LT_entropy_log_6_coef,0.0
app_LT_entropy_shannon_1_coef,0.0
app_LT_entropy_log_7_coef,0.0
app_LT_entropy_log_8_coef,0.0
app_LT_entropy_log_9_coef,0.0
app_LT_entropy_log_10_coef,0.0
app_LT_TKEO_mean_1_coef,0.0
app_LT_TKEO_mean_4_coef,0.0
tqwt_medianValue_dec_23,0.0
tqwt_TKEO_std_dec_33,0.0
tqwt_TKEO_std_dec_35,0.0
det_LT_entropy_shannon_10_coef,0.0
det_LT_entropy_log_1_coef,0.0
det_LT_entropy_log_3_coef,0.0
det_LT_entropy_log_4_coef,0.0
det_LT_entropy_log_6_coef,0.0
det_LT_entropy_shannon_1_coef,0.0
